Code,@AAPL(P),@MSFT(P),@AMZN(P),@FB(P),@GOOGL(P),@INTC(P),@PEP(P),@CSCO(P),@NFLX(P),@CMCSA(P),@NVDA(P),@ADBE(P),@COST(P),@AMGN(P),@PYPL(P),@TMUS(P),@GILD(P),@TSLA(P),@CHTR(P),@AVGO(P),@TXN(P),@SBUX(P),@MDLZ(P),@QCOM(P),@INTU(P),@VRTX(P),@FISV(P),@ADP(P),@ISRG(P),@AMD(P),@BIIB(P),@BKNG(P),@JD(P),@MU(P),@REGN(P),@ATVI(P),@CSX(P),@WBA(P),@AMAT(P),@ILMN(P),@KHC(P),@NTES(P),@ADI(P),@BIDU(P),@EA(P),@EXC(P),@ADSK(P),@LRCX(P),@XEL(P),@EBAY(P),@MAR(P),@MNST(P),@ROST(P),@CTSH(P),@MELI(P),@LULU(P),@NXPI(P),@ORLY(P),@PCAR(P),@VRSN(P),@VRSK(P),@WLTW(P),@ALXN(P),@ANSS(P),@CDNS(P),@CTXS(P),@DLTR(P),@FAST(P),@KLAC(P),@PAYX(P),@SNPS(P),@XLNX(P),@CERN(P),@CTAS(P),@CSGP(P),@IDXX(P),@MCHP(P),@SGEN(P),@SIRI(P),@WDAY(P),@ALGN(P),@BMRN(P),@CHKP(P),@INCY(P),@SWKS(P),@SPLK(P),@AAL(P),@CDW(P),@CPRT(P),@EXPE(P),@MXIM(P),@TTWO(P),@TCOM(P),@UAL(P),@NTAP(P),@ULTA(P),@WDC(P),@FOXA(P),@LBTYA(P),@GOOG(P),@ASML(P),@FOX(P),@LBTYK(P)
8/10/2015,119.72,47.33,524,94.15,663.1399,29.64,99.09,28.59,123.03,29.725,23.78,83.62,146.25,170.6,39.05,41.47,116.58,241.14,204.4016,127.28,52.08,56.27,46.41,63.15,104.99,139.63,44.42,81.6,177.4199,1.93,290.0911,1323.75,30.06,18.82,581,28.81,30.24,93.95,17.6,211.77,78.81,149.22,61.09,176.85,73.97,32.18,54.38,74.87,34.94,28.66,72.55,48.2428,53.73,68.44,123.66,63.99,99.28,247.69,63.82,71.37,77.84,122.9665,190.43,95.31,21.38,60.6256,78.11,20.285,54.15,48.1,51.75,44.13,63.21,88.34,200.28,77.47,44.42,45.7,3.95,83.25,61.7,136.23,82.59,103.94,91.03,69.4,41.68,39.29,18.255,121.49,34.64,30.94,38.785,57.15,31.5,168.36,84.96,NA,45.7799,633.73,99.42,NA,42.4613
8/11/2015,113.49,46.41,527.46,93.62,690.3,28.97,98.62,28.02,122.74,29.395,23.66,83.9,145.89,168.56,38.85,40.95,115.61,237.37,200.5418,124.21,50.64,56.35,46.1,62.55,104.62,135.87,44.025,81.33,176.6132,1.9,290.0083,1307.87,28.02,17.88,566.99,28.46,29.33,92.95,17.34,208.59,77.97,141.57,59.38,167.94,73.82,32.09,54.06,73,35.37,28.14,72.14,47.5995,53.82,67.78,123.2,64.45,96.28,247.64,62.99,70.86,77,121.6156,186.31,94.27,21.35,59.8849,77.69,19.885,53.01,47.88,51.14,43.18,62.81,87.92,198.56,77.23,43.72,45.01,3.9,83.06,61.15,136.02,81.29,104.21,88.97,68.01,42.7,39.39,18.115,121.13,33.75,30.59,36,57.87,30.71,168.51,83.19,NA,45.0209,660.78,99.19,NA,41.8974
8/12/2015,115.24,46.74,525.9099,94.19,691.47,29.46,98.38,27.9,120.51,29.705,23.72,83.82,146.49,170.62,38.19,41.36,116.25,238.17,200.2432,125.73,51.11,56.38,46.53,62.58,104.72,137.64,44.265,81.55,176.4265,1.9,291.7397,1294.71,26.77,18.19,579.25,28.66,29.52,93.36,17.3,207.36,76.69,141.2,59.74,160.82,73.72,32.69,54.82,72.61,35.72,28.01,72.27,47.3828,53.56,67.47,121.27,63.02,93.825,247.24,62.77,70.72,76.75,121.4036,191.01,94.39,21.25,60.8565,77.32,20.23,53.28,47.81,51.24,43.57,63.12,87.85,196.51,77.13,43.85,44.79,3.96,82.96,60.83,137.6,80.78,107.28,89.9,68.03,42.52,38.9,18.01,120.78,34.42,30.26,35.12,57.41,30.99,166.94,83.16,NA,44.5586,659.5601,97.08,NA,41.6024
8/13/2015,115.15,46.73,529.6599,93.43,686.51,28.87,98.79,28.7,123.73,29.82,23.52,84.31,145.27,168.58,37.62,41.23,115.2,242.51,199.7787,124.19,50.63,56.85,46.01,62.03,104.9,137.37,44.58,82.45,175.9566,1.79,289.1423,1285.47,27.05,17.7,574.1001,28.85,29.39,92.54,17.05,208.84,75.99,133.9,59,160.89,73.38,32.75,54.61,72.01,35.56,27.99,72.3,49.6862,53.63,67.94,120.24,64.5,93.65,253.92,62.67,70.62,76.88,121.4301,188.83,94.33,21.35,61.1591,77.33,20.025,51.52,48.13,51.39,43.15,62.89,88.09,195.46,77.16,43.39,45.12,3.99,82.26,60.2,135.84,80.49,107.91,89.64,68.97,42.67,38.82,18.02,120.66,33.85,30.14,36.065,58.35,30.62,169.28,81.57,NA,44.9948,656.45,94.72,NA,41.7499
8/14/2015,115.96,47,531.52,94.42,689.3701,29.02,99.23,29.03,123.39,29.44,23.54,86.12,146.09,167.72,38.14,41.23,115.6,243.15,198.8718,121.96,50.64,57.1,46.485,61.91,105.62,136.88,44.79,82.99,176.6232,1.84,287.9451,1283.8,28.12,16.95,576.3,28.68,29.62,92.1,16.64,208.07,76.42,126.04,58.84,164.24,72.82,33.08,54.86,72.71,35.8,28.26,71.85,50.1328,53.72,67.17,119.75,65.17,91.62,254.37,62.92,71.09,76.8,122.5162,186.58,94.26,21.56,61.7564,77.78,20.105,51.2,48.3,51.64,43.45,64.25,88.49,195.58,77.61,43.29,44,3.94,84.18,60.57,135.51,80.82,105.8,89.1,69.78,42.88,39.18,18.19,121.65,33.67,30.72,35.79,58.53,30.75,171.04,82.5,NA,45.3786,657.1201,92.69,NA,41.7933
8/17/2015,117.16,47.32,535.22,93.93,694.1101,29.08,99.86,28.825,125.36,30.205,23.39,86.77,146.09,169.79,38.73,42,116.42,254.99,206.7904,125.52,50.9,57.74,46.2,62.07,105.56,139.61,45.055,84.7,177.6832,1.8,291.1411,1306.56,27.33,17.22,576.76,29.3,29.68,92.7,17.03,207.91,75.8,124,59.5,167.43,73.7,33.41,55.4,74.39,35.99,28.29,72.94,50.2362,54.5,67.65,121.12,66.37,91.58,254.64,63.03,71.19,76.72,123.0725,191.22,96.51,21.8,61.9077,78.48,20.18,51.83,48.37,52.13,43.93,64.54,89.14,196.16,78.66,43.52,46.45,3.95,84.8,60.88,139.44,82.21,114.6,90.93,70.73,43.95,39.73,18.37,123.01,33.83,31.59,36.395,59.6,30.54,171.39,83.6,NA,45.9282,660.8701,93.17,NA,42.2357
8/18/2015,116.5,47.27,535.02,95.17,688.73,28.91,99.77,28.25,124.05,29.845,23.08,86.45,145.63,167.72,37.99,42.04,117.06,260.72,208.8143,122.24,49.91,57.83,46.15,61.32,105.72,139.76,45.14,84.69,176.5665,1.8,287.5027,1291.83,26.62,16.38,569.6699,29.22,29.62,91.94,16.53,207,75.19,122.49,57.9,166.11,73.85,33.6,54.59,72.27,35.91,27.77,72.38,50.1728,56.53,67.84,117.93,66.7,88.34,254.45,62.94,70.93,77.23,122.9401,187.42,97.06,21.62,62.1864,79.37,20.36,50.19,48.45,51.98,42.96,65.6,88.86,193.68,78.4,42.93,45.51,3.935,82.58,60.52,137.23,82.54,113.97,85.7,69.92,43.63,39.45,18.25,123.32,33.13,31.11,34.64,58.51,30.28,173.32,83.31,NA,45.7537,656.1299,92.85,NA,42.0275
8/19/2015,115.01,46.61,532.9199,95.31,694.04,28.36,98.99,27.8,122.06,29.96,22.99,85.48,145.17,166.57,37.19,41.86,116.21,255.25,208.1397,121.45,49.2,57.59,45.21,61.18,106.27,141.48,44.9,84.47,175.5399,1.8,290.9019,1291.35,26.78,15.9,568.9099,28.98,28.92,91.41,16.44,205.65,74.78,122.08,58.38,162.89,71.61,34.18,54.32,72.41,36.32,27.43,71.91,49.0828,55.7,67.03,113.89,65.36,87.01,256.47,62.48,70.58,77.65,121.6685,184.96,96.15,21.63,61.8121,80.92,20.17,50.01,48.01,52.3,42.5,65,87.64,192.14,78.21,42.68,44.76,3.9,82.38,59.73,135.7,81.14,112.4,87.23,68.78,43.53,39.45,18.055,123.14,32.91,30.35,34.065,58.23,29.78,172.62,81.71,NA,45.396,660.8999,90.92,NA,41.7152
8/20/2015,112.65,45.66,515.78,90.56,679.48,27.53,97.98,27.04,112.49,29.185,22.16,82.69,143.71,161.15,35.98,40.74,112.39,242.18,202.1012,115.03,47.43,55.81,44,60.15,102.93,132.91,44.21,82.71,171.4065,1.7,285.4487,1257.54,24.9,14.74,546.6499,27.98,28.36,89.77,15.98,200.43,74.25,119.73,53.82,157.4,67.71,33.8,53.1,71.02,36.01,26.52,70,48.1995,55.25,65.7,107.88,62.96,82.02,251.32,60.82,69.15,75.36,120.503,178.62,93.24,20.47,60.4105,80.38,19.69,48.44,47.3,48.6,41.26,63.27,86.6,188.1,75.83,41.53,42.81,3.8,77.02,58.02,129.01,79.89,107.52,82.44,64.39,41.98,38.66,17.66,118.7,32,29.38,32.305,56.59,30.78,171.3,79.79,NA,43.9392,646.8301,87.44,NA,40.5873
8/21/2015,105.76,43.07,494.47,86.06,644.03,26.56,96.25,26.47,103.96,28.39,21.47,78.87,138.99,155.19,34.25,40.13,105.33,230.77,196.3392,111.45,45.96,52.84,43.2,57.61,89.28,125.47,42.435,79.23,168.9466,1.78,272.3137,1216.92,25.05,14.53,527.1799,27.22,27.38,85.61,15.48,199.95,72.27,114.19,53.78,152.91,65.53,33,51.76,69.75,35.56,25.77,69.33,46.3029,50,62.85,106.54,61.95,80.33,238.17,58.44,67.81,73.92,118.2248,173.81,90.92,19.8,58.8577,76.35,19.59,47.7,45.69,47.52,40.4,61.72,84.87,181.61,74.2,40.84,41.17,3.72,71.84,56.45,126.17,76.9,104.31,79.07,62.13,39.75,38.25,17.295,114.51,31.49,28.88,31.635,55.09,30.21,162.57,79.44,NA,42.2557,612.48,85.91,NA,39.2598
8/24/2015,103.12,41.68,463.3701,82.09,618.1101,26.25,91.83,25.19,96.88,27.205,20.71,74.27,132.97,147.64,33.75,38.73,100.655,218.87,189.6703,109.94,44.89,50.34,41.96,55.28,84.25,119.27,40.705,76.28,163.6032,1.75,256.3882,1174.12,23.93,14.44,504.5801,26.16,26.27,82.27,15.1,191.77,70.87,107.14,51.67,141.08,63.7,32.64,49.39,67.32,34.1,24.93,66.69,45.1529,48.33,59.83,103.49,59.07,79.26,231.85,56.39,65.94,71.58,114.5692,166.85,85.63,19,53.3709,73.71,18.7,46.97,43.99,45.7,39.45,60.63,81.53,170,70.86,40.14,38.74,3.6,69.34,54.55,119.68,74.79,97.37,80.51,59.64,37.62,37.41,16.735,108.34,30.74,27.83,30.25,52.33,29.87,158.72,76.92,NA,40.7116,589.6101,85.3,NA,37.9497
8/25/2015,103.74,40.47,466.3701,83,612.47,25.87,89.64,24.62,101.52,26.925,20.28,74.57,132.71,145.19,32.7,38.13,102.56,220.03,189.4381,108.51,43.52,51.09,41.31,53.88,79.87,121.17,40.035,73.52,164.8199,1.66,259.5154,1178.81,25.06,14.27,499.02,26.18,25.31,81,14.84,189.64,70.21,112.52,50.61,136.99,63.54,30.4,48.17,67.4,33.08,25.23,66.56,44.7862,47.22,58.98,102.16,58.7,80.84,231.69,55.9,65.92,70.77,113.4831,165.44,85.75,18.75,52.7179,73.16,18.5,46.32,42.92,44.98,38.78,60.24,81.23,170.74,69.94,39.57,39.15,3.63,70.02,54.23,121.14,77.6,101.65,80.56,59.16,37.5,37.55,16.785,108.42,30.71,27.63,31.85,52.1,29.07,153.26,75.16,NA,40.5023,582.0601,87.01,NA,37.8369
8/26/2015,109.69,42.71,500.77,87.19,659.74,27.3,92.49,25.68,110.13,27.7,21.81,77.33,138.16,153.98,33.17,38.96,106.96,224.84,196.4166,116.2,45.41,53.96,42.2,56.66,83.29,130.11,42.315,77.8,169.4832,1.72,274.718,1223.46,25.59,14.42,535.47,27.29,26.37,85.41,15.24,195.7,73.91,111.43,54.22,142.4,66.34,31.44,49.13,70.75,33.54,26.17,69.92,46.1962,48.93,62.16,104.76,60.31,85.02,239.03,58.28,68.08,72.65,114.2248,173.54,87.75,19.51,54.4778,77.34,19.04,48.11,44.62,46.71,41.24,61.63,84.01,175.24,71.93,41.09,40.26,3.72,72.4,55.95,128.1,79.52,108.49,86.15,61.48,38.85,39.48,17.06,115.24,32.43,28.3,32.04,53.95,30.58,158.05,78.63,NA,40.9123,628.6201,88.4,NA,38.236
8/27/2015,112.92,43.9,518.3701,89.73,667.96,27.72,93.6,26.17,117.66,28.385,22.63,78.91,140.21,155.72,34.62,39.94,107.99,242.99,200.8957,126.26,47.06,55.95,42.76,57.36,86.6,133.75,43.28,78.03,171.8566,1.78,280.4656,1252.01,27.1,15.67,538,27.93,27.49,87.85,15.94,201.94,75.18,120.86,56.48,152.06,67.16,31.72,50,73.11,34,27.1,71.11,46.6695,49.68,63.8,111.97,62.64,86.64,242.96,59.58,69.85,74.25,116.6354,179.82,89.79,19.94,55.4175,76.79,19.49,49.59,45.25,46.94,42.26,61.44,85.5,179.41,73.42,42.73,41.24,3.79,75.37,56.82,130.89,79.61,113.85,89.77,64.24,39.03,40.1,17.36,117.45,33.39,28.92,34.98,53.36,31.39,160.24,81.41,NA,42.7965,637.6101,91.91,NA,39.5374
8/28/2015,113.29,43.93,518.01,91.01,659.6899,28.42,93.53,26,117.63,28.39,22.73,79.4,139.95,155.89,35.04,40,107.78,248.48,200.8294,127.62,47.99,55.63,42.8,57.45,86.21,134.05,43.39,78.41,171.4132,1.85,279.7288,1259.39,26.77,15.96,536.7,29.22,27.8,87.42,15.99,201.7,74.69,117.91,56.45,152.13,67.91,31.4,47.52,72.92,33.95,27.25,71.58,46.8095,49.4,63.72,113.19,63.17,86.73,240.99,59.45,69.55,73.94,114.8871,178.86,89.74,20.14,54.7008,76.73,19.345,49.89,44.95,47.1,42.27,63.13,85.37,181.38,73.21,43.24,42.25,3.83,72.76,57.27,133.18,78.86,119.93,88.62,62.78,38.62,39.97,17.495,116.51,34.1,29.78,34.75,57.12,31.62,159,81.28,NA,43.0233,630.3799,91.98,NA,39.7283
8/31/2015,112.76,43.52,512.8899,89.43,647.8201,28.54,92.93,25.88,115.03,28.165,22.48,78.57,140.05,151.78,35,39.61,105.07,249.06,200.8515,125.97,47.84,54.71,42.36,56.58,85.75,127.52,42.635,77.32,170.3165,1.81,273.843,1248.64,25.88,16.41,513.5,28.63,27.38,86.55,16.085,197.61,72.66,111.18,55.86,147.25,66.15,30.76,46.75,72.77,33.73,27.11,70.66,46.1529,48.62,62.94,110.05,64.01,84.65,240.07,58.97,68.94,73.08,114.1453,172.19,88.6,20.02,54.2389,76.26,19.27,50.11,44.66,46.93,41.89,61.76,84.99,177.04,71.47,42.5,40.27,3.815,70.26,56.6,129.24,78.01,116.19,87.35,61.97,38.98,39.75,17.51,114.99,33.67,29.13,33.225,56.97,31.96,158.09,81.96,NA,41.9765,618.25,91.02,NA,38.9301
9/1/2015,107.72,41.82,496.54,87.23,629.5601,27.82,91.33,25.12,105.79,27.51,21.56,75.99,138.3,147.46,33.77,38.96,101.49,238.63,196.5936,119.37,46.34,53.5,41.01,55.02,84.1,124.04,41.435,75.1,167.8065,1.71,269.4216,1215.36,24.88,15.82,496.4199,27.86,26.73,86.04,15.49,193.13,70.12,110.23,53.55,143.57,63.43,29.96,45.49,69.56,32.98,26.48,69.09,45.0095,47.47,61.23,108.63,63.07,81.84,231.54,57.03,66.56,71.58,112.5294,170.85,86.57,19.72,52.0808,69.65,18.725,48.03,43.46,45.64,40.31,59.87,83.06,171.38,70.54,40.34,39.32,3.76,69.59,53.94,124.63,77.24,115.12,83.05,59.59,39.2,38.41,16.925,110.365,32.23,28.35,32.16,57.13,30.955,153.76,80.45,NA,40.5982,597.79,89.16,NA,37.6547
9/2/2015,112.34,43.36,510.55,89.89,644.9099,28.6,91.64,25.65,105.44,27.94,22.21,77.25,140.42,152.29,35.07,39.32,104.27,247.69,198.717,124.04,47.35,55.26,42.27,55.86,85.83,129,42.59,77.09,170.3765,1.77,280.2075,1242.87,24.87,16.29,518.78,28.37,26.99,87.83,15.68,198.11,72.07,109.51,54.59,148.15,64.67,29.96,45.99,71.1,33.1,26.87,70.92,45.4662,48.45,62.54,109.94,65.36,84.89,239.66,58.15,68.04,73.66,112.9268,176.24,88.87,19.93,53.6655,67.59,19.165,48.66,44.49,46.31,40.84,60.96,84.62,174.58,72.91,41.09,40.23,3.82,71.11,55.1,129.26,78.35,123.28,85.74,59.1,41.51,38.79,17.51,113.38,32.95,28.71,32.73,57.29,31.27,158.51,81.15,NA,40.8425,614.3401,90.63,NA,37.8022
9/3/2015,110.37,43.5,504.72,88.15,637.05,29.08,92.13,25.9,101.06,28.105,22.27,78.32,140.48,149.23,35.31,39.45,101.91,245.57,202.256,123.77,47.46,54.69,43.24,55.55,86.04,126.53,42.865,77.55,171.2499,1.79,277.8311,1240.37,24.41,16.59,508.51,28.6,27.28,88.26,15.76,195.45,72.16,109.24,55.17,149.08,65.79,30.26,45.94,71.75,33.29,27.04,71.07,45.2129,48.48,62.86,112.23,64.95,85.71,237.94,58.07,68.23,73.82,112.9533,175.28,90.09,20.52,54.0477,67,18.82,48.83,44.7,47.14,41.19,60.81,85.09,178.18,72.97,41.74,39.29,3.8,71.69,55.13,126.45,78.09,116.07,85.34,59.92,40.89,39.25,17.435,112.89,33.29,28.7,32.945,57.25,31.19,158.93,81.8,NA,41.4182,606.25,92.68,NA,38.3662
9/4/2015,109.27,42.61,499,88.26,628.96,28.52,90.92,25.52,98.79,27.89,21.75,76.89,138.48,147.02,34.29,39.22,102.06,241.93,202.4109,121.15,46.53,54.28,42.57,54.29,85.13,126.99,42.055,76.15,169.4665,1.82,278.4116,1245.25,22.81,16.82,499.99,28.1,26.85,87.43,15.39,193.16,70.57,107.67,53.96,146,66.37,29.72,45.37,69.75,32.63,26.48,70.02,44.7462,48.44,61.75,108.18,65.68,84.43,234.65,56.84,67.13,72.81,111.9467,171.98,89.72,20.29,54.0637,68.09,18.75,47.54,44.31,46.6,40.07,59.83,83.75,174.8,72.56,41,40.2,3.78,70.09,54.28,126.51,77.61,115.88,83.37,58.27,40.6,38.7,17.44,111.23,32.99,28.45,31.96,56.69,30.57,157.7,80.02,NA,41.174,600.7,91.37,NA,38.0104
9/7/2015,109.27,42.61,499,88.26,628.96,28.52,90.92,25.52,98.79,27.89,21.75,76.89,138.48,147.02,34.29,39.22,102.06,241.93,202.4109,121.15,46.53,54.28,42.57,54.29,85.13,126.99,42.055,76.15,169.4665,1.82,278.4116,1245.25,22.81,16.82,499.99,28.1,26.85,87.43,15.39,193.16,70.57,107.67,53.96,146,66.37,29.72,45.37,69.75,32.63,26.48,70.02,44.7462,48.44,61.75,108.18,65.68,84.43,234.65,56.84,67.13,72.81,111.9467,171.98,89.72,20.29,54.0637,68.09,18.75,47.54,44.31,46.6,40.07,59.83,83.75,174.8,72.56,41,40.2,3.78,70.09,54.28,126.51,77.61,115.88,83.37,58.27,40.6,38.7,17.44,111.23,32.99,28.45,31.96,56.69,30.57,157.7,80.02,NA,41.174,600.7,91.37,NA,38.0104
9/8/2015,112.31,43.89,517.54,89.53,643.8799,29.5,92.37,26.3,94.95,28.555,22.68,79.78,141.43,154.56,34.7,40.28,104.9,248.17,206.0494,129.16,48.69,55.21,42.93,55.2,87.74,133.11,43.285,78.2,173.5465,1.88,284.3804,1280.4,23.95,17.53,542.76,28.87,28,90.09,15.73,198.42,74.07,112.37,57.77,148.18,68.5,30.29,46.81,72.63,33.08,26.36,72.42,45.6329,49.77,63.17,109.55,65.89,90.68,238.5,57.6,68.23,74.78,114.9665,176.93,92.47,20.85,55.6165,68.79,19.42,49.8,45.58,48.05,42.76,62.38,86.37,179.43,74.76,44.86,42.12,3.85,71.77,55.4,132.59,78.29,120.13,87.73,60.95,40.8,40.3,17.675,114.46,33.97,29.58,32.225,57.51,31.49,164.61,83.9,NA,42.0637,614.6599,93.88,NA,38.852
9/9/2015,110.15,43.07,516.8899,90.44,643.4099,29.24,90.83,25.94,99.18,28.335,22.23,78.52,139.68,151.08,34.37,39.44,103.82,248.91,204.656,127.17,47.61,54.69,41.99,54.32,86.64,129.95,42.555,77.51,169.9899,1.85,279.5354,1276.72,24.67,16.96,527.3501,28.69,27.81,88.94,15.46,196.74,72.17,114.21,56.27,150.11,67.78,29.79,46.16,70.59,32.56,26.2,71.19,44.1329,49.38,62.13,108.06,64.05,88.87,239.23,57.38,68.1,73.47,115.0725,171.76,90.88,20.61,54.8919,67.94,19.18,49.35,45.34,47.22,41.59,61.43,85.04,177.39,74.35,44.37,41.29,3.84,70.27,54.97,129.87,77.73,118.2,86.42,59.18,41,40.4,17.48,113.35,33.69,29.12,32.975,57.67,31.12,163.4,82.39,NA,41.3223,612.72,91.07,NA,38.1492
9/10/2015,112.57,43.29,522.24,91.98,651.0801,29.27,91.06,26.26,99.48,28.27,22.58,78.7,140.01,153.14,33.46,39.65,107.25,248.48,203.8154,128.72,47.41,55.37,42.38,55.33,88.3,132,42.96,77.92,170.5132,1.84,287.9543,1287.74,24.19,17.2,531.22,29.06,28.02,89.38,15.56,199.95,72.16,119.32,56.01,146.75,68.74,29.75,46.23,71.9,32.71,26.15,72.27,44.0795,49.84,62.63,107,53.54,86.88,241.24,57.34,68.79,73.76,114.3308,171.65,91.65,20.77,55.6643,66.06,19.31,51.48,45.3,47.6,41.77,61.81,85.21,177.98,75.33,44.2,41.58,3.86,70.16,55.19,133.08,78.73,124.5,88.07,60.06,41.21,40.75,17.555,115.94,33.8,29.15,33.595,56.9,31.36,164.83,81.24,NA,41.6712,621.3501,92.21,NA,38.6178
9/11/2015,114.21,43.48,529.4399,92.05,655.3,29.47,91.62,26.02,97.51,28.205,22.65,79.19,141.05,153.21,33.55,39.82,109.63,250.24,203.9924,131.08,47.57,56.53,42.68,54.66,89.31,134.06,43.035,78.31,171.7666,2.01,290.4873,1290.41,24.26,16.8,533.3,29.15,28.5,90.4,15.5,206.41,73.76,117.45,56.35,144.03,68.91,29.7,46.3,71.83,33.16,26.32,73.01,44.2562,50.06,62.79,105.25,54.01,88.41,245.85,57.47,69.16,73.87,112.7149,171.93,92.23,20.65,56.1103,66.46,19.335,51.21,45.71,47.88,41.93,62.52,85.76,179.24,76.35,43.89,45.01,3.81,71.36,55.55,132.88,79.18,131.01,88.16,59.65,42.15,41.1,17.52,116.61,34.02,29.18,34.43,56.83,31.58,165.06,80.53,NA,41.2874,625.77,91.68,NA,38.1145
9/14/2015,115.31,43.04,521.3799,92.31,652.47,29.39,91.2,25.7,95.69,28.125,22.69,78.46,141.15,151,33.77,39.95,109.35,253.19,204.1251,131.19,47.83,56.29,42.28,54.31,88.82,134.85,42.605,77.76,170.1932,1.82,291.2793,1286.83,24.21,16.7,531.3999,29.21,28.39,90.17,15.6,206.02,74.55,114.8,57.56,141.27,68.35,30.16,46.15,72.5,33.16,25.75,72.99,44.0529,49.46,62.08,106.1,53.79,90.26,244.27,57.06,69.22,73.17,111.9202,168.8,91.39,20.67,56.3014,65.34,19.105,52.18,45.31,47.68,42.83,61.75,85.32,177.13,75.7,43.92,46.79,3.83,69.87,55.61,131.49,78.66,128.21,89.5,59.35,42.29,41.06,17.345,115.75,34.35,29.04,32.945,57.45,31.14,163,80.64,NA,40.8599,623.24,90.93,NA,37.8282
9/15/2015,116.28,43.98,522.3701,92.9,665.0701,29.73,92.06,25.98,99.16,28.5675,22.94,79.53,142.43,152.14,33.8,41.31,111.05,253.57,208.4825,134.38,48.3,56.91,42.99,54.87,88.99,135.45,43.35,78.89,171.2565,1.86,294.623,1318.8,24.98,16.52,541.45,29.8,28.89,90.92,15.92,205.71,75.39,114.87,58.3,141.4,69.38,30.49,46.62,74.02,33.11,25.98,72.24,44.1595,49.42,62.77,108.2,53.37,90.47,249.39,58.27,70.16,73.82,112.6884,169.03,92.37,21.14,57.5357,66.24,19.34,52.58,45.97,48.05,43.15,62.64,86.53,179.61,76.94,44.01,48.75,3.855,70.67,56.52,131.88,79.51,131.47,91.66,59.43,42.64,41.56,17.605,118.83,34.24,29.49,33.46,57.28,32.19,164.06,80.74,NA,41.1652,635.1399,93.33,NA,38.3401
9/16/2015,116.41,44.3,527.3899,93.45,665.52,29.77,93.07,26.07,104.08,28.87,23.1,80.53,143.61,151.18,33.77,41.53,111.03,262.25,207.7637,131.49,48.7,57.26,43.04,55.2,89.47,133.66,43.65,79.59,171.4999,1.89,294.3467,1320.48,26.99,16.68,540.99,30.52,29.25,90.91,16.17,205.29,76.37,118.85,58.45,150.35,70.28,31.06,46.9,74.76,33.36,26.74,72.79,44.6429,49.75,63.62,109.28,54.65,90.94,252.5,58.65,70.61,73.78,113.7215,167.79,92.79,21.2,58.1091,67.71,19.45,53.19,46.28,48.13,43.37,63.39,86.33,179.94,76.96,43.91,47.96,3.87,71.96,56.6,129.09,79.54,130.8,91.52,59.21,43.06,41.82,17.66,124.68,34.22,29.48,36.15,57.95,32.36,164.72,81.16,NA,41.6799,635.98,93.71,NA,38.6698
9/17/2015,113.92,44.25,538.8701,94.34,671.6699,29.71,93.37,25.88,104.21,29.23,23.31,80.31,143.35,153.91,33.32,42.47,111.61,262.0701,212.5856,130.61,48.15,57.28,43.72,54.98,85.77,135.19,43.8,79.43,173.0799,1.89,299.6338,1318,27.64,16.41,550.97,30.97,29.18,89.68,16.02,210.06,76.43,116.37,57.93,147.06,71.06,31.57,46.78,72.64,33.84,26.27,72.16,44.8995,50.49,62.89,104.91,53.83,91.02,250.68,57.75,70.49,73.57,113.0592,167.99,92.36,21.13,58.2047,67.83,19.185,51.31,46.69,47.89,43.09,64.52,86.64,181.01,77.92,43.33,48.68,3.86,72.02,58.45,132.13,79.57,130.11,90.74,58.65,43.99,41.28,17.645,128.83,34.07,29.54,35.13,61.56,32.21,168.14,80.73,NA,42.5697,642.8999,92.79,NA,39.3899
9/18/2015,113.45,43.48,540.26,94.4,660.9199,29.02,93.05,25.54,102.62,28.71,23.29,81.25,141.81,150.59,32.92,41.84,108.44,260.6201,211.6677,127.59,47.8,56.84,42.85,54.45,85.49,124.16,43.265,79.01,170.4865,1.87,289.8423,1294.47,26.43,15.5,550.3601,31.1,28.16,86.49,15.93,208.88,75.44,115.02,56.67,142.57,70.07,30.91,46.48,71.22,33.63,26.02,69.68,44.8662,49.12,61.83,99.64,52.91,90.08,246.31,56.31,69.95,73,110.8871,166.58,90.95,20.81,57.5756,66.65,18.59,50.42,46.53,47.33,42.63,63.24,86.42,176.66,76.64,42.8,47.36,3.82,73.49,57.42,130.65,79.9,125.93,89.37,58.54,43.49,40.83,17.38,126.49,33.52,29.53,34.17,60.31,31.36,167.23,75.87,NA,42.4825,629.25,90.01,NA,39.5201
9/21/2015,115.21,44.11,548.3899,95.55,666.98,29.16,93.71,25.54,100.3,28.945,23.53,83.32,143.21,147.09,34.25,42.81,105.74,264.2,215.1072,127.26,47.45,57.54,42.85,54.39,86.81,118.19,43.905,79.9,168.3132,1.81,273.7139,1307.48,25.98,15.75,529.3799,31.52,28.1,88.25,15.64,200.19,75.2,115.08,56.63,140.84,70.58,30.52,47.41,68.07,34.11,25.92,70.22,45.0795,49.44,62.82,98.68,53.98,90.35,246.81,56.55,71.1,74.31,111.8408,160.51,92.23,21.08,58.0613,67.85,18.59,49.2,46.65,47.72,42.36,63.48,87.32,178.56,76.45,42.73,44.62,3.845,73.18,57.01,122.09,80.59,118.66,89.22,59.51,43.23,40.56,17.545,126.33,33.12,29.93,33.835,60.45,31.22,168.69,76.26,NA,42.8227,635.4399,89.4,NA,39.7717
