Dates;RIB Software SE;Indus Holding AG;Bilfinger SE;DIC Asset AG;Leoni AG;DWS Group GmbH & Co KGaA;Encavis AG;Hypoport AG;ADO Properties SA;Pfeiffer Vacuum Technology AG;S&T AG;Rhön-Klinikum AG;Hamborner REIT AG;Bertrandt AG;Wacker Neuson SE;Isra Vision AG;HelloFresh SE;Ströer SE & Co. KGaA;Hornbach Holding AG & Co KGaA;Jungheinrich AG;PATRIZIA Immobilien AG;Koenig & Bauer AG;Jenoptik AG;Talanx AG;Klöckner & Co SE;Washtec AG;XING SE;Stabilus SA;Medigene AG;SAF-Holland SA;VTG AG;AIXTRON SE;Wüstenrot & Württembergische AG;Deutz AG;TLG Immobilien AG;SMA Solar Technology AG;Takkt AG;Shop Apotheke Europe NV;Drägerwerk AG & Co. KGaA;Rational AG;JOST Werke AG;Sixt SE;CompuGroup Medical SE;Deutsche Beteiligungs AG;DMG Mori AG;Befesa SA;Krones AG;Hamburger Hafen und Logistik AG;Vossloh AG;Borussia Dortmund GmbH & Co KGaA;Hapag-Lloyd AG;SGL Carbon SE;Heidelberger Druckmaschinen AG;Dialog Semiconductor PLC;Aumann AG;Knorr-Bremse AG;CTS Eventim AG & Co KGaA;Nordex SE;CANCOM SE;Südzucker AG;Dr. Hönle AG;Tele Columbus AG;Steinhoff International Holdings NV;GRENKE AG;ADLER Real Estate AG;CECONOMY AG;Cewe Stiftung & Co KGAA;zooplus AG;KWS Saat SE;Corestate Capital Holding SA
02.01.2008;#N/A N/A;24,19;46,934;18,996;33,19;#N/A N/A;2,706;15;#N/A N/A;56,21;1,512;19,719;8,513;27,8;14,66;2,78;#N/A N/A;#N/A N/A;44,6;8,86;3,201;19,6;6,07;#N/A N/A;21,208;11,48;44,9;#N/A N/A;21,72;14,19;16,9;9,86;19,6;6,94;#N/A N/A;#N/A N/A;11,9;#N/A N/A;50,37;143,5;#N/A N/A;15,55;13;21,6;17,577;#N/A N/A;56,11;60;77,601;1,466;#N/A N/A;31,298;13,963;1,7;#N/A N/A;#N/A N/A;6,74;32,04;1,819;16,16;9,1;#N/A N/A;#N/A N/A;7,463;1,364;17,613;26,5;#N/A N/A;147,5;#N/A N/A
03.01.2008;#N/A N/A;24,02;45,918;18,679;33,15;#N/A N/A;2,706;15;#N/A N/A;57,12;1,476;19,334;8,428;27,49;14,25;2,78;#N/A N/A;#N/A N/A;45,1;8,683;3,043;20,25;5,73;#N/A N/A;21,153;11,58;42,23;#N/A N/A;21,6;14,15;17;10,19;18,5;6,79;#N/A N/A;#N/A N/A;12,05;#N/A N/A;50,63;142,61;#N/A N/A;15,285;13;21,59;17,379;#N/A N/A;54;59,97;78,571;1,466;#N/A N/A;30,412;13,579;1,63;#N/A N/A;#N/A N/A;6,673;32,1;1,824;16,07;9,14;#N/A N/A;#N/A N/A;7,66;1,409;17,162;27,14;#N/A N/A;149,2;#N/A N/A
04.01.2008;#N/A N/A;23,19;44,395;18,196;31;#N/A N/A;2,696;14,6;#N/A N/A;55;1,476;18,994;8,175;28,28;14,42;2,774;#N/A N/A;#N/A N/A;45,1;8,273;3,014;19,7;5,49;#N/A N/A;20,838;11,85;41,55;#N/A N/A;20,52;14;16,42;10,39;18,37;6,76;#N/A N/A;#N/A N/A;11,95;#N/A N/A;50,5;141,28;#N/A N/A;14,68;12,61;21,11;16,614;#N/A N/A;52,7;58,97;74,623;1,466;#N/A N/A;29,248;12,817;1,63;#N/A N/A;#N/A N/A;6,575;31,32;1,819;15,86;9,23;#N/A N/A;#N/A N/A;7,647;1,5;17;27,08;#N/A N/A;147,3;#N/A N/A
07.01.2008;#N/A N/A;23,4;42,41;17,572;30,43;#N/A N/A;2,696;14,6;#N/A N/A;53,91;1,512;18,747;8,128;27,8;14;2,74;#N/A N/A;#N/A N/A;44;7,74;2,89;19,8;5,55;#N/A N/A;20,089;12;40,58;#N/A N/A;20,56;13,15;16,2;9,44;17,91;6,52;#N/A N/A;#N/A N/A;11,89;#N/A N/A;50,01;143;#N/A N/A;13,84;12,24;20,21;15,433;#N/A N/A;49,22;57,59;77,718;1,466;#N/A N/A;26,954;12,704;1,62;#N/A N/A;#N/A N/A;6,53;29,1;1,785;16,04;9;#N/A N/A;#N/A N/A;7,67;1,418;16,904;26,74;#N/A N/A;143,05;#N/A N/A
08.01.2008;#N/A N/A;22,6;43,139;16,833;30,32;#N/A N/A;2,696;14,9;#N/A N/A;53,84;1,512;18,352;7,846;27,3;13,96;2,76;#N/A N/A;#N/A N/A;44;7,807;2,913;19,41;5,7;#N/A N/A;19,45;12;42,09;#N/A N/A;20,36;13,4;16;9,23;18,75;6,55;#N/A N/A;#N/A N/A;11,9;#N/A N/A;49,32;142,96;#N/A N/A;14,33;12,6;19,25;15,301;#N/A N/A;49,71;56;79,541;1,466;#N/A N/A;28,431;12,735;1,7;#N/A N/A;#N/A N/A;6,86;30,66;1,867;16,19;8,92;#N/A N/A;#N/A N/A;7,533;1,409;17,162;26,54;#N/A N/A;146,34;#N/A N/A
09.01.2008;#N/A N/A;22,32;41,672;16,587;29,52;#N/A N/A;2,5;14,9;#N/A N/A;54;1,458;18,334;7,799;26,8;13,5;2,79;#N/A N/A;#N/A N/A;44;7,663;2,766;19,25;5,55;#N/A N/A;17,897;12;42,9;#N/A N/A;20,16;12,91;15,11;8,59;18,2;6,33;#N/A N/A;#N/A N/A;11,6;#N/A N/A;47,15;135,15;#N/A N/A;13,87;12,25;18,71;14,016;#N/A N/A;48,16;54;78,377;1,466;#N/A N/A;27,188;11,885;1,76;#N/A N/A;#N/A N/A;7,063;27,92;1,882;16,08;8,86;#N/A N/A;#N/A N/A;7,323;1,364;16,237;26;#N/A N/A;145,52;#N/A N/A
10.01.2008;#N/A N/A;22,1;41,616;16,614;27,55;#N/A N/A;2,382;14,8;#N/A N/A;51,78;1,35;18,205;8,081;26;13,13;2,8;#N/A N/A;#N/A N/A;42,345;7,49;2,766;19,26;5,27;#N/A N/A;17,44;11,6;41,5;#N/A N/A;19,8;12,85;15,3;8,47;18,4;5,78;#N/A N/A;#N/A N/A;11,58;#N/A N/A;49;134;#N/A N/A;13,56;11,65;17,86;13,535;#N/A N/A;48,37;52;79,57;1,466;#N/A N/A;26,094;11,708;1,73;#N/A N/A;#N/A N/A;7,598;26,61;1,858;14,39;8,65;#N/A N/A;#N/A N/A;7,25;1,355;17,251;25,65;#N/A N/A;144,56;#N/A N/A
11.01.2008;#N/A N/A;21,74;42,364;16,482;28,16;#N/A N/A;2,5;14,7;#N/A N/A;54,25;1,458;18,297;7,987;26;13,24;2,742;#N/A N/A;#N/A N/A;40,5;7,533;2,653;19,02;5,4;#N/A N/A;18,362;11,6;40,8;#N/A N/A;19,28;12,7;14,9;8,49;17,9;5,65;#N/A N/A;#N/A N/A;11,15;#N/A N/A;47,23;131,37;#N/A N/A;13,12;10,93;18,15;13,591;#N/A N/A;48,84;54,95;81,171;1,466;#N/A N/A;28,518;12,269;1,7;#N/A N/A;#N/A N/A;7,218;27,83;1,785;14,03;8,5;#N/A N/A;#N/A N/A;7,2;1,345;17,575;25,6;#N/A N/A;144,99;#N/A N/A
14.01.2008;#N/A N/A;22,06;42,604;17,053;28,39;#N/A N/A;2,402;15;#N/A N/A;54,74;1,422;17,994;7,94;26,5;13,27;2,76;#N/A N/A;#N/A N/A;39,55;7,777;2,772;19,7;5,45;#N/A N/A;18,622;10,68;40,44;#N/A N/A;19,24;12,75;14,57;8,8;18,22;5,93;#N/A N/A;#N/A N/A;11;#N/A N/A;47,99;129,9;#N/A N/A;12,84;10,75;18,44;14,177;#N/A N/A;51,27;55,58;82,393;1,466;#N/A N/A;28,37;12,659;1,6;#N/A N/A;#N/A N/A;7,118;27,09;1,747;14,09;8,59;#N/A N/A;#N/A N/A;7,357;1,373;17,569;25,65;#N/A N/A;146,11;#N/A N/A
15.01.2008;#N/A N/A;21,63;40,259;15,691;26,91;#N/A N/A;2,441;15;#N/A N/A;52,35;1,422;17,334;7,893;26,8;12,6;2,756;#N/A N/A;#N/A N/A;39,75;7,267;2,563;19;5,3;#N/A N/A;17,219;10,03;40;#N/A N/A;18,88;12,6;14,6;8,14;18;5,58;#N/A N/A;#N/A N/A;10,8;#N/A N/A;44,38;126,01;#N/A N/A;12,685;10,47;18,43;12,354;#N/A N/A;50,7;55,29;79,764;1,436;#N/A N/A;27,736;12,042;1,5;#N/A N/A;#N/A N/A;7,095;25,73;1,713;13,51;8,52;#N/A N/A;#N/A N/A;7,043;1,355;16,796;24,13;#N/A N/A;141,51;#N/A N/A
16.01.2008;#N/A N/A;20,78;40,038;15,207;27,31;#N/A N/A;2,108;14,7;#N/A N/A;51;1,422;17,471;7,667;24,61;11,89;2,754;#N/A N/A;#N/A N/A;36,1;7,437;2,427;18,14;5,25;#N/A N/A;16,675;9,4;40,17;#N/A N/A;18,28;12,1;13,9;7,53;17,5;5,49;#N/A N/A;#N/A N/A;10,52;#N/A N/A;43,5;114;#N/A N/A;12,48;10,2;17,35;10,153;#N/A N/A;48,37;50;79,134;1,417;#N/A N/A;28,457;11,582;1,41;#N/A N/A;#N/A N/A;6,808;23,65;1,544;13,46;8,31;#N/A N/A;#N/A N/A;6,553;1,3;16,606;23,97;#N/A N/A;139;#N/A N/A
17.01.2008;#N/A N/A;20,9;38,791;14,636;27,26;#N/A N/A;2,127;15;#N/A N/A;50,79;1,296;17,352;7,893;24,7;12,01;2,608;#N/A N/A;#N/A N/A;34,84;7,37;2,235;17,98;5,22;#N/A N/A;16,848;8,85;40,1;#N/A N/A;18,4;12,3;14,4;7,9;18;5,48;#N/A N/A;#N/A N/A;10,5;#N/A N/A;42,43;120;#N/A N/A;12,54;10,14;17,24;11,277;#N/A N/A;47,31;48;79,056;1,436;#N/A N/A;29,239;10,65;1,35;#N/A N/A;#N/A N/A;6,74;25,7;1,626;14;8,45;#N/A N/A;#N/A N/A;6,753;1,336;16,736;24,21;#N/A N/A;139;#N/A N/A
18.01.2008;#N/A N/A;20,84;38,579;14,733;26,98;#N/A N/A;2,431;15;#N/A N/A;48,1;1,332;17,279;7,611;24,39;11,6;2,444;#N/A N/A;#N/A N/A;35,65;7,337;2,264;18,01;5,12;#N/A N/A;16,951;8,85;39,6;#N/A N/A;18,04;12,14;14,95;7,84;17,95;5,68;#N/A N/A;#N/A N/A;10,1;#N/A N/A;41,94;120;#N/A N/A;12,475;10,5;17,32;11,551;#N/A N/A;47,55;46,9;80,676;1,426;#N/A N/A;27,814;10,814;1,28;#N/A N/A;#N/A N/A;6,525;26,2;1,616;14,51;8,3;#N/A N/A;#N/A N/A;6,583;1,282;17,206;24,22;#N/A N/A;142;#N/A N/A
21.01.2008;#N/A N/A;19,23;36,253;14,68;25,78;#N/A N/A;1,814;15;#N/A N/A;43,63;1,422;16,655;7,245;23,8;10,85;2,32;#N/A N/A;#N/A N/A;35,65;6,92;2,201;17,29;4,72;#N/A N/A;15,894;8,6;37,5;#N/A N/A;17,12;10,9;14,17;6,83;16,75;5,45;#N/A N/A;#N/A N/A;10;#N/A N/A;38,8;110,99;#N/A N/A;12,385;10,43;17,23;10,994;#N/A N/A;43,2;46,88;74,662;1,358;#N/A N/A;24,338;10,115;1,14;#N/A N/A;#N/A N/A;6,09;23,59;1,496;13,86;8,45;#N/A N/A;#N/A N/A;6,66;1,182;16,809;23,03;#N/A N/A;130;#N/A N/A
22.01.2008;#N/A N/A;20,36;37,517;16,201;26,53;#N/A N/A;1,872;15;#N/A N/A;47,14;1,404;16,278;7,329;22,25;10,52;2,32;#N/A N/A;#N/A N/A;35;7,367;2,173;17,3;4,87;#N/A N/A;17,542;8,6;37,01;#N/A N/A;17;10,4;14,1;7,3;17,98;5,72;#N/A N/A;#N/A N/A;10,59;#N/A N/A;37,42;115;#N/A N/A;12,355;10,15;17,49;10,833;#N/A N/A;47,29;47,47;73,508;1,338;#N/A N/A;27,232;11,337;1,11;#N/A N/A;#N/A N/A;6,295;25,07;1,443;13,81;7,95;#N/A N/A;#N/A N/A;6,833;1,173;16,742;24,1;#N/A N/A;130;#N/A N/A
23.01.2008;#N/A N/A;20,14;37,13;15,383;25,67;#N/A N/A;1,853;14,81;#N/A N/A;46,71;1,404;15,801;7,376;22,33;10,48;2,32;#N/A N/A;#N/A N/A;34,985;7;2,331;16,5;4,33;#N/A N/A;16,352;8,5;37;#N/A N/A;16,44;11,14;14,1;7,04;17,11;5,28;#N/A N/A;#N/A N/A;10;#N/A N/A;37,8;125,5;#N/A N/A;11,825;10,74;17,85;10,663;#N/A N/A;44,2;45;73,343;1,348;#N/A N/A;26,207;10,72;1,12;#N/A N/A;#N/A N/A;6,195;23,01;1,447;13,38;8;#N/A N/A;#N/A N/A;6,533;1,045;15,878;24,65;#N/A N/A;122,36;#N/A N/A
24.01.2008;#N/A N/A;20,5;38,579;16,271;27,39;#N/A N/A;1,961;14,81;#N/A N/A;49,62;1,296;16,388;7,517;23,2;10,85;2,28;#N/A N/A;#N/A N/A;36;7,407;2,388;17,02;4,62;#N/A N/A;19,158;8,17;37,9;#N/A N/A;16,96;11;14,25;7,85;17,99;5,91;#N/A N/A;#N/A N/A;10,14;#N/A N/A;38,83;132;#N/A N/A;12,22;11,4;18,66;11,258;#N/A N/A;49,4;48,2;78,135;1,397;#N/A N/A;28,118;11,582;1,27;#N/A N/A;#N/A N/A;6,34;25,88;1,496;14,1;8,23;#N/A N/A;#N/A N/A;6,833;1,027;17,165;25;#N/A N/A;130,57;#N/A N/A
25.01.2008;#N/A N/A;20,9;39,521;16,025;27,35;#N/A N/A;1,843;15;#N/A N/A;49,59;1,35;16,618;7,583;21,87;10,99;2,2;#N/A N/A;#N/A N/A;36,43;7,747;2,399;17,2;4,67;#N/A N/A;19,955;8,01;38,45;#N/A N/A;17,6;10,69;14;8,16;17,63;6;#N/A N/A;#N/A N/A;10,5;#N/A N/A;39,63;124;#N/A N/A;12,35;11,1;19,79;11,938;#N/A N/A;50,43;50;80,88;1,397;#N/A N/A;28,97;11,494;1,35;#N/A N/A;#N/A N/A;6,545;26,38;1,515;13,82;8,3;#N/A N/A;#N/A N/A;6,967;1,1;17,559;24,8;#N/A N/A;137,74;#N/A N/A
28.01.2008;#N/A N/A;20,5;39,207;15,146;27,74;#N/A N/A;1,961;14,8;#N/A N/A;48,29;1,332;16,838;7,564;23;11,17;2,11;#N/A N/A;#N/A N/A;36,55;7,433;2,292;16,6;4,83;#N/A N/A;20,577;8;39,23;#N/A N/A;17,88;10,4;13,86;7,84;17,5;5,97;#N/A N/A;#N/A N/A;10,3;#N/A N/A;40;119,54;#N/A N/A;12,775;11,5;19,33;11,863;#N/A N/A;50,13;49,9;77,494;1,377;#N/A N/A;28,109;10,965;1,3;#N/A N/A;#N/A N/A;6,5;26,3;1,457;13,7;8,47;#N/A N/A;#N/A N/A;6,777;1,082;17,543;24,53;#N/A N/A;140,5;#N/A N/A
29.01.2008;#N/A N/A;20,5;39,262;16,526;27,97;#N/A N/A;1,902;14,8;#N/A N/A;50;1,26;16,499;7,611;24,39;11,83;2,07;#N/A N/A;#N/A N/A;36,005;7,533;2,523;16,75;5,04;#N/A N/A;21,382;8;39,5;#N/A N/A;18,64;10,82;14;8,25;17,78;6,16;#N/A N/A;#N/A N/A;10,53;#N/A N/A;41;123,02;#N/A N/A;13,275;12,08;19,38;12,42;#N/A N/A;51,26;49,08;81,83;1,377;#N/A N/A;29,256;11,872;1,25;#N/A N/A;#N/A N/A;6,75;27,08;1,525;14,16;8,63;#N/A N/A;#N/A N/A;6,967;1,182;18,007;24,8;#N/A N/A;142;#N/A N/A
30.01.2008;#N/A N/A;20,5;38,413;15,998;27,56;#N/A N/A;1,814;14,8;#N/A N/A;49,72;1,278;16,517;7,968;23,87;11,5;2,16;#N/A N/A;#N/A N/A;36,33;7,153;2,529;17;5,2;#N/A N/A;21,768;8,58;41;#N/A N/A;18,6;11;14;8,1;17,99;6,21;#N/A N/A;#N/A N/A;10,6;#N/A N/A;41,2;119,2;#N/A N/A;13,04;12,17;19,1;12,685;#N/A N/A;50,43;49,64;80,385;1,358;#N/A N/A;29,196;11,853;1,28;#N/A N/A;#N/A N/A;6,733;26,45;1,481;14,15;8,72;#N/A N/A;#N/A N/A;6,83;1,155;17,601;25,18;#N/A N/A;133,98;#N/A N/A
31.01.2008;#N/A N/A;20,67;38,551;17,343;27,75;#N/A N/A;1,863;14,7;#N/A N/A;49,87;1,296;16,416;7,968;24,1;11,76;2,16;#N/A N/A;#N/A N/A;36,33;6,973;2,45;16,5;5,15;#N/A N/A;21,666;8,5;40,59;#N/A N/A;17,92;11,41;14,1;8,22;17,76;6,17;#N/A N/A;#N/A N/A;10,8;#N/A N/A;39,65;123,81;#N/A N/A;12,96;12,69;18,93;12,987;#N/A N/A;51,88;49,69;80,026;1,358;#N/A N/A;29,265;11,438;1,29;#N/A N/A;#N/A N/A;6,84;26,93;1,544;14,22;8,7;#N/A N/A;#N/A N/A;6,95;1,073;17,432;25,51;#N/A N/A;130;#N/A N/A
01.02.2008;#N/A N/A;21,14;40,471;18,196;28,5;#N/A N/A;1,814;14,7;#N/A N/A;54,15;1,386;17,022;8,09;26;12,39;2,14;#N/A N/A;#N/A N/A;36,845;7,317;2,642;16,8;5,31;#N/A N/A;23,652;8,7;41,5;#N/A N/A;17,44;11,75;14,1;8,42;17,99;6,5;#N/A N/A;#N/A N/A;10,84;#N/A N/A;40,2;131,15;#N/A N/A;13,7;12,69;18,9;13,374;#N/A N/A;52;51,5;82,422;1,377;#N/A N/A;30,968;12,219;1,31;#N/A N/A;#N/A N/A;6,95;28,06;1,616;14,65;8,45;#N/A N/A;#N/A N/A;6,783;1,045;17,445;24,82;#N/A N/A;136,27;#N/A N/A
04.02.2008;#N/A N/A;20,91;41,801;18,328;29,12;#N/A N/A;1,765;14,7;#N/A N/A;55,8;1,35;17,334;8,175;26,4;12,85;2,264;#N/A N/A;#N/A N/A;36,845;7,683;2,693;17,5;5,37;#N/A N/A;23,439;9,39;41,11;#N/A N/A;18,4;11,76;14,65;8,59;18,74;6,46;#N/A N/A;#N/A N/A;11;#N/A N/A;40,38;134;#N/A N/A;13,615;12,5;19,91;13,657;#N/A N/A;52,47;52,04;83,45;1,358;#N/A N/A;31,446;12,37;1,29;#N/A N/A;#N/A N/A;6,785;28,74;1,727;14,98;8,45;#N/A N/A;#N/A N/A;6,967;1,064;17,597;24,8;#N/A N/A;139,1;#N/A N/A
05.02.2008;#N/A N/A;20,74;39,825;16,693;27;#N/A N/A;1,735;14,7;#N/A N/A;53,69;1,26;17,15;7,987;25,65;11,8;2,204;#N/A N/A;#N/A N/A;36,505;7,433;2,484;17;5,29;#N/A N/A;22,438;9,15;41,3;#N/A N/A;18,8;10,75;13,84;8,54;18,44;6,12;#N/A N/A;#N/A N/A;10,81;#N/A N/A;39;126,61;#N/A N/A;13,08;12,5;18,87;12,779;#N/A N/A;49,39;49,48;81,646;1,367;#N/A N/A;29,7;10,348;1,25;#N/A N/A;#N/A N/A;6,645;26,75;1,65;14,07;8,5;#N/A N/A;#N/A N/A;6,783;1,073;17,108;24,19;#N/A N/A;129,1;#N/A N/A
06.02.2008;#N/A N/A;20,38;39,161;16,93;27,12;#N/A N/A;1,804;14,5;#N/A N/A;53,13;1,26;16,902;7,508;25,5;11,8;2,22;#N/A N/A;#N/A N/A;37;7,523;2,642;17,45;5,34;#N/A N/A;22,233;9,25;39,9;#N/A N/A;18,32;11,5;13,55;8,65;17,99;6,08;#N/A N/A;#N/A N/A;10,9;#N/A N/A;38,5;124,2;#N/A N/A;12,99;12,7;19,16;12,977;#N/A N/A;50,1;48,69;84,45;1,348;#N/A N/A;29,813;10,505;1,25;#N/A N/A;#N/A N/A;6,778;27,53;1,612;14,63;8,55;#N/A N/A;#N/A N/A;6,583;1,091;17,41;24,1;#N/A N/A;134,6;#N/A N/A
07.02.2008;#N/A N/A;19,75;37,711;17,132;25,97;#N/A N/A;1,833;14,5;#N/A N/A;52,17;1,26;16,508;7,902;26,25;11,3;2,17;#N/A N/A;#N/A N/A;37;7,243;2,506;16,91;5,09;#N/A N/A;21,531;9,35;40;#N/A N/A;17,68;11,4;13,6;8,2;18,21;5,97;#N/A N/A;#N/A N/A;11,11;#N/A N/A;36,28;123,7;#N/A N/A;12,675;12,4;18,54;12,996;#N/A N/A;48,75;46,63;85,546;1,328;#N/A N/A;29,065;9,838;1,25;#N/A N/A;#N/A N/A;6,5;25,4;1,616;14,14;8,5;#N/A N/A;#N/A N/A;6,533;0,973;17,353;24,25;#N/A N/A;131,04;#N/A N/A
08.02.2008;#N/A N/A;20,19;37,674;16,746;26,02;#N/A N/A;1,833;14,5;#N/A N/A;53,25;1,188;16,618;7,883;26,51;11,14;2,206;#N/A N/A;#N/A N/A;35,75;7,2;2,506;17,51;5,2;#N/A N/A;21,547;9,15;40;#N/A N/A;17,4;10,6;13;8,35;17,81;6,03;#N/A N/A;#N/A N/A;10,9;#N/A N/A;36,47;125,3;#N/A N/A;12,875;12,1;18,25;13,393;#N/A N/A;49,05;48,25;82,442;1,397;#N/A N/A;30,151;9,989;1,27;#N/A N/A;#N/A N/A;6,5;24,71;1,64;14,4;8,51;#N/A N/A;#N/A N/A;6,467;0,982;17,419;24,22;#N/A N/A;138,74;#N/A N/A
11.02.2008;#N/A N/A;20,17;38,08;16,746;25,3;#N/A N/A;1,912;14,75;#N/A N/A;53,49;1,26;16,756;8,081;26,5;11,6;2,22;#N/A N/A;#N/A N/A;35,75;7,417;2,371;17,15;5,1;#N/A N/A;22,328;8,98;40;#N/A N/A;17,52;10,7;12,9;8,43;17,81;6,05;#N/A N/A;#N/A N/A;11,12;#N/A N/A;36,57;129,45;#N/A N/A;12,9;11,9;17,55;13,11;#N/A N/A;48,53;47,57;81,297;1,358;#N/A N/A;30,065;9,895;1,26;#N/A N/A;#N/A N/A;6,425;24,69;1,64;14,32;8,35;#N/A N/A;#N/A N/A;6,413;1;17,086;24,15;#N/A N/A;140;#N/A N/A
12.02.2008;#N/A N/A;20,9;42,124;17,537;26,42;#N/A N/A;1,941;14,75;#N/A N/A;56,11;1,26;17,581;8,269;26,99;12,19;2,204;#N/A N/A;#N/A N/A;35,75;7,833;2,472;17,5;5,15;#N/A N/A;24,228;9;40,5;#N/A N/A;17,92;11,1;12,75;8,81;17,99;6,46;#N/A N/A;#N/A N/A;11,2;#N/A N/A;37;131,8;#N/A N/A;13,18;12,14;18,83;13,459;#N/A N/A;50,48;50,01;84,304;1,348;#N/A N/A;31,811;10,449;1,28;#N/A N/A;#N/A N/A;6,503;25,5;1,66;14,8;8,48;#N/A N/A;#N/A N/A;6,683;1;17,81;24,15;#N/A N/A;146,04;#N/A N/A
13.02.2008;#N/A N/A;21;43,546;17,695;25,87;#N/A N/A;2,01;14,75;#N/A N/A;57,12;1,224;17,031;8,081;27;11,61;2,16;#N/A N/A;#N/A N/A;36,88;7,99;2,467;17,55;5,13;#N/A N/A;24,606;9,15;40,39;#N/A N/A;17,64;10,9;12,85;8,87;17,9;6,45;#N/A N/A;#N/A N/A;11,44;#N/A N/A;36,09;131,36;#N/A N/A;13,255;12,2;19,3;14,319;#N/A N/A;50,7;50,39;86,108;1,348;#N/A N/A;32,098;10,694;1,3;#N/A N/A;#N/A N/A;6,603;26,15;1,684;15,03;8,4;#N/A N/A;#N/A N/A;7,23;1,027;18,281;24,3;#N/A N/A;146;#N/A N/A
14.02.2008;#N/A N/A;20,91;43,481;17,976;25,53;#N/A N/A;2,059;14,75;#N/A N/A;57,33;1,17;17,352;8,344;26,03;12,97;2,09;#N/A N/A;#N/A N/A;38,015;8,043;2,416;18,64;4,83;#N/A N/A;24,914;9,25;40;#N/A N/A;17,16;11,22;13,25;8,71;17,91;6,5;#N/A N/A;#N/A N/A;11,46;#N/A N/A;37,32;134,62;#N/A N/A;13,25;12,2;19,15;14,139;#N/A N/A;50,92;53,8;87,457;1,328;#N/A N/A;32,619;10,644;1,35;#N/A N/A;#N/A N/A;6,573;26,53;1,665;14,8;8,6;#N/A N/A;#N/A N/A;7,133;1,027;18,09;24;#N/A N/A;151,54;#N/A N/A
15.02.2008;#N/A N/A;20,74;43,01;17,378;25,7;#N/A N/A;2,039;14,75;#N/A N/A;54,83;1,224;17,379;8,222;25,98;13,4;2,01;#N/A N/A;#N/A N/A;38,015;8,033;2,314;18,41;4,72;#N/A N/A;23,849;9,75;41,56;#N/A N/A;17,2;10,6;12,99;8,33;18,44;6,26;#N/A N/A;#N/A N/A;11,5;#N/A N/A;35,82;130,25;#N/A N/A;13;12,2;18,65;14,517;#N/A N/A;50,35;53,25;86,419;1,348;#N/A N/A;32,15;10,348;1,32;#N/A N/A;#N/A N/A;6,33;25,85;1,689;14,79;8,8;#N/A N/A;#N/A N/A;6,95;1,045;17,947;23,71;#N/A N/A;143,12;#N/A N/A
18.02.2008;#N/A N/A;20,42;44,053;17,932;26,12;#N/A N/A;2,019;14,75;#N/A N/A;56,9;1,26;17,563;8,222;25,7;14,03;2,04;#N/A N/A;#N/A N/A;38,375;8,147;2,36;18,57;4,74;#N/A N/A;24,937;9,75;41,3;#N/A N/A;17,2;10,8;12,91;8,54;18,15;6,47;#N/A N/A;#N/A N/A;11,6;#N/A N/A;36,58;135,02;#N/A N/A;13,085;11,93;19,55;15,046;#N/A N/A;52,1;54;87,175;1,358;#N/A N/A;32,306;10,764;1,28;#N/A N/A;#N/A N/A;6,6;25,89;1,665;14,86;8,93;#N/A N/A;#N/A N/A;7,4;1,045;18,252;23,35;#N/A N/A;147,67;#N/A N/A
19.02.2008;#N/A N/A;20,26;46,103;17,836;26,62;#N/A N/A;1,912;14,75;#N/A N/A;61,19;1,26;17,783;8,259;25,12;13,65;2,126;#N/A N/A;#N/A N/A;38,5;8,04;2,371;18,39;4,66;#N/A N/A;25,466;9,7;41,4;#N/A N/A;17,04;10,77;13,1;8,69;18,21;6,84;#N/A N/A;#N/A N/A;11,55;#N/A N/A;36,32;134,5;#N/A N/A;13,055;11,69;19,45;15,565;#N/A N/A;52,16;53,54;87,01;1,358;#N/A N/A;32,628;10,556;1,32;#N/A N/A;#N/A N/A;6,44;25,62;1,655;14,97;8,8;#N/A N/A;#N/A N/A;7,357;1,036;17,791;23,9;#N/A N/A;154,9;#N/A N/A
20.02.2008;#N/A N/A;20,22;45,549;17,519;28,53;#N/A N/A;1,912;14,5;#N/A N/A;59,6;1,26;17,435;8,269;26;13,58;2,114;#N/A N/A;#N/A N/A;38,5;8,067;2,314;18;4,71;#N/A N/A;26,317;9,5;40,5;#N/A N/A;16,92;11,35;13,1;8,59;18,6;6,93;#N/A N/A;#N/A N/A;11,57;#N/A N/A;37;133,86;#N/A N/A;13,115;12,1;19,14;15,669;#N/A N/A;51,98;54;86,71;1,387;#N/A N/A;32,715;10,512;1,24;#N/A N/A;#N/A N/A;6,5;24,75;1,665;14,5;8,8;#N/A N/A;#N/A N/A;7,427;1,045;17,693;24;#N/A N/A;150,76;#N/A N/A
21.02.2008;#N/A N/A;20,34;46,583;17,941;27,96;#N/A N/A;1,912;14,5;#N/A N/A;59,5;1,26;17,921;8,269;25,85;13,58;2,1;#N/A N/A;#N/A N/A;38,5;7,993;2,303;18;4,76;#N/A N/A;26,128;10,01;40;#N/A N/A;17;11,5;13,05;8,77;19,25;6,97;#N/A N/A;#N/A N/A;11,55;#N/A N/A;37,84;131;#N/A N/A;13,1;11,9;19,36;16,028;#N/A N/A;51,99;53,98;87,563;1,377;#N/A N/A;32,706;10,827;1,26;#N/A N/A;#N/A N/A;6,528;25,18;1,66;14,42;8,82;#N/A N/A;#N/A N/A;7,517;1,191;17,725;24,01;#N/A N/A;157,96;#N/A N/A
