Code,III(VA)~U$,AZN(VA)~U$,HSBA(VA)~U$,GSK(VA)~U$,BP.(VA)~U$,BATS(VA)~U$,DGE(VA)~U$,ULVR(VA)~U$,RIO(VA)~U$,RDSB(VA)~U$,RB.(VA)~U$,VOD(VA)~U$,REL(VA)~U$,BHP(VA)~U$,NG.(VA)~U$,TSCO(VA)~U$,LSE(VA)~U$,PRU(VA)~U$,BARC(VA)~U$,LLOY(VA)~U$,AAL(VA)~U$,BA.(VA)~U$,CPG(VA)~U$,EXPN(VA)~U$,SMT(VA)~U$,ABF(VA)~U$,BT.A(VA)~U$,CRH(VA)~U$,GLEN(VA)~U$,IMB(VA)~U$,RBS(VA)~U$,STAN(VA)~U$,MRW(VA)~U$,SN.(VA)~U$,SSE(VA)~U$,AV.(VA)~U$,FERG(VA)~U$,LGEN(VA)~U$,OCDO(VA)~U$,ANTO(VA)~U$,CRDA(VA)~U$,EZJ(VA)~U$,HLMA(VA)~U$,IHG(VA)~U$,INF(VA)~U$,NXT(VA)~U$,RR.(VA)~U$,SGE(VA)~U$,SGRO(VA)~U$,WPP(VA)~U$,BNZL(VA)~U$,BRBY(VA)~U$,IAG(VA)~U$,JD.(VA)~U$,PSN(VA)~U$,ADM(VA)~U$,AHT(VA)~U$,AVV(VA)~U$,BDEV(VA)~U$,BLND(VA)~U$,CCL(VA)~U$,CNA(VA)~U$,CCH(VA)~U$,FLTR(VA)~U$,FRES(VA)~U$,HL.(VA)~U$,HIK(VA)~U$,ITRK(VA)~U$,ITV(VA)~U$,LAND(VA)~U$,MRO(VA)~U$,MNDI(VA)~U$,PSON(VA)~U$,RTO(VA)~U$,RMV(VA)~U$,SDR(VA)~U$,SPX(VA)~U$,UU.(VA)~U$,AUTO(VA)~U$,BKG(VA)~U$,DCC(VA)~U$,JMAT(VA)~U$,MNG(VA)~U$,MGGT(VA)~U$,NMC(VA)~U$,PNN(VA)~U$,POLY(VA)~U$,SBRY(VA)~U$,SVT(VA)~U$,SMDS(VA)~U$,SMIN(VA)~U$,STJ(VA)~U$,TW.(VA)~U$,WTB(VA)~U$,EVR(VA)~U$,ICP(VA)~U$,PHNX(VA)~U$,RSA(VA)~U$,SLA(VA)~U$,RDSA(VA)~U$,,SKG(VA)~U$
8/24/2015,31160.9,346459.8,478417.7,470586.5,387398.8,475932.2,335903.9,248951.3,338084.9,329950.2,187919,378637.7,138145.7,328764.7,262884.9,140991.6,47185.2,249826.3,371018,420370,135480.2,112935.5,143761.9,61902.8,13915.7,64897.2,218936.4,122813.1,324878.5,180738.4,197796.4,256431.6,56921.6,82086,140161.2,131260,96290.7,114476.3,13892.6,33495.9,22710.3,69687.4,8852.3,61856.7,9550.4,108142.7,129360.8,40650.9,9980.7,148739.4,35958.2,100838,153921.9,2398.6,55606.4,33953.2,65475,6506.6,73503.8,104615.5,69732.3,84466.8,18834.4,1176.2,21656,20083.7,25799.8,28569.1,84667.8,83960.1,37438,66586.1,119854.9,5955.8,19898.3,36650.8,6686.8,56393.9,10680.2,45561.2,18622.6,38231,NA,34990.1,1288.8,17656.4,17309,67486.7,53682.5,17218.2,37699.1,61058.3,89396.3,119130.3,2452.7,5806,10324.4,125560.3,53328,431401.6,,11441.1
8/25/2015,21355.7,239956.5,367235.3,379128,473325.3,284377.4,177463,208380.2,359901.6,266425.1,189521.4,354814.5,98675.1,274086,190879,100440.1,59615,186450.5,257780.7,316634.7,145903.3,71135.6,96418.1,55555.7,12346.9,35506.4,213062.5,147121.2,286211.4,369370.3,105589.5,165106.9,33828,69934.5,86399.9,141951.9,49398.9,113445.6,13403,48070.3,17262.8,48232.5,7454.8,50224.3,9443,106948.3,105556.6,21384.5,11232.6,134421.1,26725.1,68884,86018.8,1824.9,60991.4,36698.3,52535.1,5522.4,69401.7,85850.5,46830.5,100881.9,13927.3,926.9,22178.8,19176.2,34032.4,26137.6,120152,63911.4,15098.3,59976.7,72674.4,7644,17097.4,30287.3,5917.4,34835.9,9440.6,37190.5,11797.4,39760.1,NA,21108.3,1366.1,51308.1,15695,32055.3,33387.3,22340.5,30792.5,74893.8,77015.7,66320.4,4124.3,8349.3,9359.6,216488.9,36187.6,257615.8,,7670.3
8/26/2015,17860.7,282958.4,287265.9,353015.7,346350.8,267148,158830.9,151281.7,218388.7,241865.4,158627.5,242949.8,84586.5,235007.6,93795.6,76266.7,34368.4,123912.8,192672.9,181115.5,108987.9,66859,87321.5,51466.5,8455.2,33518.8,148692.6,56973.5,188421.2,166580.2,102742.6,187492.7,20644,55395.9,56852.2,81516.7,62396.4,74244.8,10580.3,46131.8,17341.1,59174.6,5806.9,36123.3,5679.6,117010.5,81278,24232.3,10797.6,216326.7,24947.7,89162.3,104540.2,904,65980.8,32054.7,41358.5,6956.3,53648.8,68042.5,65008.1,84746.2,12561.4,6684.2,26438.8,12412,24429,19523,53280.7,50198.2,20998.7,48263.2,42307.5,4999.2,14222.3,28258.4,8195.8,28955.7,24167.9,36889.3,11062.2,30619.7,NA,32962.8,791.6,12312.2,15532.5,35879.8,47927.3,16109.5,36223.3,32255.4,50662.4,64937.7,2398.5,4482.6,9075.4,76463.9,26337.9,212733.6,,10373.8
8/27/2015,14025,186898,290069.8,184120.1,285602.4,157796.2,186638.8,114459,239370,367613.6,144766.5,219915.8,85568.1,261342.4,150008.6,91666.9,44898,227635.8,183273.2,209694.7,138878.1,52249.1,71960.6,37605.9,7778.6,44061.2,126239.9,78510.7,314459.1,135532.1,72732.3,169623.1,20471.6,62963,60469.6,61093.2,57401.5,66615.7,9067.5,52006.3,15134.6,27083,7495.3,39848.3,5241.9,81051.1,101181.7,26207.8,9503.5,115980.3,22446.2,56004.1,81937.5,1931.2,42780.5,26421,98049.6,2768.4,35392.3,60507,48825.8,75611.3,9316,890.4,20285.3,9900.3,16168.6,25463.3,45615.6,42942.7,13296.8,36923.7,59747,5454.8,16407.3,18998.1,6064,23047.6,13816.7,29284.2,5048.5,28071.4,NA,17196,2266.8,14285,7687.5,26921.5,27978.6,12136.4,26343.9,51939.6,88207.4,98097.5,3850.3,7268.9,15371.8,56444.8,26345.3,269500.5,,7953.2
8/28/2015,11488,145499.7,319133,179799.7,258041.7,145342.6,165648.8,108539.1,228113.7,217611.8,105595,170447.6,64037.4,208298.6,90771.7,75265.5,23357.8,114665.4,174250.5,156100.5,114804.3,42109.5,76566.3,43798.4,6363.3,32090.9,103791.7,50563.4,233743.3,94395.4,87643.6,182418.1,18575,64863.4,66032.5,79025.5,34493.6,71942.2,6885.4,53092.8,16626.3,25495.5,6123.8,34658.2,7719,75747.4,79034.3,40368.8,20266.5,89012.2,21639.1,48416.5,62736.1,1632.3,42807.9,24158.3,41420.4,2704.8,33887.1,36110.8,33898,62339.1,10473.5,279.1,20084.6,16415.9,14013.8,19868.1,34729.4,32395.2,13532.7,38489.1,45163,4705.7,11303.2,17050.7,4877,20561.4,9178.8,23601.8,16927.4,27729.6,NA,25399.2,885.6,19664.9,32242.3,23932.7,31729.2,11060.3,27774.9,339327.3,69450.8,56097.5,3481.9,5689.5,8226.1,46431.6,33842.3,237662.2,,5240.4
8/31/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
9/1/2015,21494,196208.1,289284.9,168346,298590.2,173452.2,139784.6,112436.3,236078.4,255563.9,102363.7,178009.2,60757.3,235586.2,147133,91482.9,32805.5,133906.5,170073.7,208942.5,106208,72117.8,69284,47730.8,3542.2,41161.1,104079.8,49489.7,312247.3,108314.9,97097.9,130473.2,20008.5,60808.4,86615.3,75139.5,37511.3,63143.8,34509.2,55857,22545.8,43452.5,8179.1,34989.7,6837.9,70935.9,88927.4,21707.4,12085,125889,27991.8,58045.1,75147.9,1141.8,48615.3,35936,41440.3,3769.4,42416.8,51267.3,43029.2,53623.4,9391.3,14309.6,15705.4,13924.9,12006.4,26417.8,67550,56890.1,14540.2,35960.7,55931.7,12278.9,10555.1,28839,7237.1,31638.9,13946.9,30049.9,14115,34015.3,NA,42822.6,625.9,16074.6,1527.2,57766.9,35781.9,10280,23494.6,73765.1,56283.5,73984.6,3817.8,6425.6,6917.7,45176.3,27463.1,316916.1,,7155.1
9/2/2015,21134.2,187189,218569.4,169229.9,244589.3,137495.9,151874.8,85630.3,168278.7,189249.9,86508.9,123858.4,47379.7,207594,112765.3,84328.3,32531.7,123121.5,110376.4,137581,120474.2,48003.2,47393.1,39820.7,3686.3,21590.6,108542.3,52566.9,255149.9,89578.6,52476,80022.2,15166.1,49257.9,66112.7,50252,36747.9,47095.4,13482.5,49502.5,13708,38274.9,5450,35277.6,6164.8,62773.2,55500.9,18935.8,10621,72467.8,15145.9,55487.7,73142.2,943.6,38228,22405.7,96126.8,3220.6,36780.8,40443.6,27567.7,37212.9,10068.8,11626.4,13436.5,10548,22688,19976.3,54505.5,34939,11399.4,39499.8,41985,6436.8,16895.8,26977.5,5825.2,18313.8,5645.1,33472.5,16871,27063,NA,24547.2,630.5,9830.3,1171,30179.7,28963.1,15633.9,17919.7,33667.1,40818.5,37430.3,4172.1,4321.9,6547.3,45205.9,26904.8,219191.9,,17253.6
9/3/2015,20641.1,214322.5,164508.8,128193.6,217180.2,148428.1,118104.4,99790.2,224559,217904.7,130145.7,124845.6,78695,239067.1,92327.7,103527.9,27899.5,102321,109396,138474.4,122536.9,36468.7,53137.5,44405.5,5332.9,24339.2,78630,108631.6,184247.6,89741.7,50992,121550.2,26337,39213.9,50813,72238.5,50066,62480.3,6763.2,41042.4,18355.8,114240.8,3401.1,22516.8,6416.1,47412.5,53331.7,11894,11243,79027.1,17392.1,46238.3,108657,1693.4,36817.2,23375.4,78391.9,3552.6,30004.2,32174.7,30456.1,49113.8,8687.8,2352.9,17637.3,8334,12013,17473.6,33365.2,40927.5,14593.1,42326.9,47478.3,8738.3,10821.6,17066.3,4327.1,26730.7,43158.7,26519.8,14566.5,16456.4,NA,22258.4,579.1,8408.8,16139.5,24577.3,19114.9,11330.6,16013.3,27091.3,44292.9,36148.6,3311.6,5302.9,4044.1,34849.8,24386.9,191562.9,,11458.4
9/4/2015,11863.4,211027.4,171867.3,136355.8,252683.9,135984.3,105990.7,85899,173198.4,138948.9,93990.3,132159.7,54323.7,171195.7,90618.9,59226.4,24261.4,109892.1,119946,149870.1,116711.7,35892.2,41167.3,64236.8,3981,32252.4,56164.1,69180.1,182270.4,68006,62647.3,102420.5,18566.1,41474.6,47596.1,68815.5,30677.3,71403.6,5389.5,31563.4,11308.5,69595.2,4564.1,22171,3589.6,93963.8,111764,17148.6,12074.6,80122.8,15284.3,42831.6,85195.1,2926.2,35623.9,16147.7,64647,2680.3,30022.2,39052.3,36693.8,53943.4,7721.9,253.3,12673.7,8079,16531.6,14032.6,34842.3,36494.5,11828.4,37319.9,43057.8,5405.4,10440.4,27218.5,3885.7,29265.8,7810.3,27398.1,6450.6,16248.8,NA,21631.4,194.1,7473.7,685.3,27967.2,20012.7,7792,21691.2,30777.3,30325.1,38934.2,4653.1,3047.6,8375.8,36447.7,30440.4,224238.4,,8150.3
