Code,@AAPL(VA),@MSFT(VA),@AMZN(VA),@FB(VA),@GOOGL(VA),@INTC(VA),@PEP(VA),@CSCO(VA),@NFLX(VA),@CMCSA(VA),@NVDA(VA),@ADBE(VA),@COST(VA),@AMGN(VA),@PYPL(VA),@TMUS(VA),@GILD(VA),@TSLA(VA),@CHTR(VA),@AVGO(VA),@TXN(VA),@SBUX(VA),@MDLZ(VA),@QCOM(VA),@INTU(VA),@VRTX(VA),@FISV(VA),@ADP(VA),@ISRG(VA),@AMD(VA),@BIIB(VA),@BKNG(VA),@JD(VA),@MU(VA),@REGN(VA),@ATVI(VA),@CSX(VA),@WBA(VA),@AMAT(VA),@ILMN(VA),@KHC(VA),@NTES(VA),@ADI(VA),@BIDU(VA),@EA(VA),@EXC(VA),@ADSK(VA),@LRCX(VA),@XEL(VA),@EBAY(VA),@MAR(VA),@MNST(VA),@ROST(VA),@CTSH(VA),@MELI(VA),@LULU(VA),@NXPI(VA),@ORLY(VA),@PCAR(VA),@VRSN(VA),@VRSK(VA),@WLTW(VA),@ALXN(VA),@ANSS(VA),@CDNS(VA),@CTXS(VA),@DLTR(VA),@FAST(VA),@KLAC(VA),@PAYX(VA),@SNPS(VA),@XLNX(VA),@CERN(VA),@CTAS(VA),@CSGP(VA),@IDXX(VA),@MCHP(VA),@SGEN(VA),@SIRI(VA),@WDAY(VA),@ALGN(VA),@BMRN(VA),@CHKP(VA),@INCY(VA),@SWKS(VA),@SPLK(VA),@AAL(VA),@CDW(VA),@CPRT(VA),@EXPE(VA),@MXIM(VA),@TTWO(VA),@TCOM(VA),@UAL(VA),@NTAP(VA),@ULTA(VA),@WDC(VA),@FOXA(VA),@LBTYA(VA),@GOOG(VA),@ASML(VA),@FOX(VA),@LBTYK(VA)
8/24/2015,16740810,3733247,4760668,6892066,4045410,2201316,1226562,1561358,5939366,1442500,360071.3,522217.1,693444.1,1298893,656312.9,353680.8,2618186,2106628,500744.6,754968.9,706275.8,1367477,1156150,1652024,573891.4,406941.3,258155.4,496247.9,242570.1,29929.6,1675572,1373697,513428.4,801412.4,898094.9,221745.4,455552.3,874907.4,518316.2,412192.7,695953.1,182451.9,359042.6,1565280,420157.5,673998.6,251608.4,218603.6,208245,579380.1,346908.8,344971.6,340074.6,409665.8,46538.7,204281.5,729471.2,326805.1,307293.4,126853.3,127734.6,54701.3,601061.4,77618.1,62136.2,312342.6,316633.1,234224.1,136394.6,226731.1,62681.4,231422.9,358462.4,96412.1,61768.9,88085.7,209057,46297.6,147777.8,309072.3,48057.3,249881.8,185650.4,181810.5,971066.6,177242.8,746907.1,67358.5,15505.4,346912.8,141946.6,93832.8,267667.9,375180.9,270010.6,425619.8,306398.6,NA,212395.1,3429277,346047.4,NA,350893.3
8/25/2015,11146460,2959955,2724711,4451077,2262514,1571065,277923.5,1026796,3933100,913101.8,323628.1,572879.6,632209.7,1006437,524951.4,175110.5,1948033,975441.3,398729.2,489186.3,650554.1,1031068,1291760,1213444,398755.1,328139.4,171557.9,269410.8,246354.9,21086.7,1086391,1160331,337156.8,566623.1,635929.2,183882.8,341539.7,904113.6,399807.9,266232.1,315474.5,158352.3,205726.3,1217482,374484.6,831463.1,202417.4,242253,174066.1,578300.6,286884.4,251627.1,237171.9,382264.5,65460.1,111822.1,474335,328474.1,196082.5,111376.1,89795.4,63839.6,439275.5,74946.4,47083.8,185902.2,190350.5,270470.4,110819.7,227263.4,47978.8,178781,220545.6,83919.2,37647.7,63597.8,160313.4,39192.3,92487.4,138246.9,42870.9,208520.8,232660.6,149110.8,498264.1,103607.7,495498,55599,19993.1,206032.3,84601.4,48862.2,244443.8,246685.1,197398.5,275530,219236.4,NA,142954.1,2136274,180576.8,NA,155478
8/26/2015,10388710,2647885,3115316,3859584,2838471,1266346,693980.1,1376869,3842643,903112.3,328112.4,324388.9,421224.4,792352.6,825757.3,127475.1,1643258,1095891,275714.7,678463.3,850046.6,818811.1,740596.4,1224127,468619.8,316329.7,177656.8,343675.7,163059.3,18120.9,911708.1,1009929,321368.4,630608.1,554598.4,216941.2,404994.7,593018.7,581454.2,537360.1,387243.1,125033.9,275430.3,1162821,283148.8,564531.2,240762.2,191452,161305.6,432364.6,300097.7,211132.8,200950.9,349813.1,46308.3,151677.7,337807.4,265428.4,237818,123287.6,56030.5,102384.8,308426.4,55010.5,48129.9,169549.9,222600.9,140357.4,75713.7,151694.5,46329.4,223232.6,201310.6,82469.8,36973,33708.1,188357.4,47661.8,194786.8,241289.5,50576,165994.1,158179.2,181396.2,453197.6,93911.4,596527.2,71180.4,11943.4,220811.2,125114.3,52178.8,167270.7,265577.6,165605.6,281047.9,299177.8,NA,148862.9,2605494,185784.3,NA,187668.2
8/27/2015,9469129,2220236,3157159,3778821,1958034,1063568,624072.4,946451.1,4308759,899184.6,259038.9,408588.8,363662.9,760057.8,642118.7,148507.7,1578201,1831143,238585.9,1146041,457398.1,887102.8,657087.6,1039984,370216.7,267868.8,160630.4,233670.9,126168.5,21177,760567,982777.3,342884.6,661331.9,406542.8,208577.1,377756.3,486304.9,342339.9,328404.9,444341.8,134158.9,297593.3,883557.1,195219.8,236368.8,364785.4,222346.6,138008.3,488681.8,158881.1,172646.8,169147.3,307838.9,89712.3,182182.1,472482.9,198006.5,178789.4,114174.8,70123.4,69564.1,359697.4,37461.7,54281.8,154444.1,413752.8,104720,58591.9,119032.9,67113.7,260489.3,185609.7,59378.1,26209.8,29605.3,121541.6,29314.6,107301.8,546910.3,24210.3,140595.3,141481.6,168713.6,507294.6,249651.1,535793.8,67297.1,14887.3,178458.9,112697.3,43299.3,254965.5,309351.9,135758.6,396318.4,211591.9,NA,107027.8,2213192,187827.4,NA,147820.1
8/28/2015,5984178,1237455,1418411,3014788,1278290,1231368,559691.2,698763.6,2382187,686618,181906.4,261790.8,258556.5,723929.1,291250.4,71161.9,1158587,1367091,162373.4,458262.9,392675.8,421888.3,384017.4,727517.9,305878.2,165263.1,82345.5,203323.6,69705.8,19988.6,623155.6,630073.8,276677.9,543628.3,271806.3,3903403,275729.7,343370.4,177107.8,280026.6,159945.8,110335.9,187691.9,605629.3,201957.6,231887,594616.1,117165.9,79990.4,306189.5,109200.3,167541.3,198243.9,266013.8,41952.6,91660.6,167795.4,149831,97985.8,63900.3,55105.4,41751.8,262832,29524.8,40021.2,140611.3,189375.3,77738.9,56758.9,117823,53285.8,100310.1,163886.3,44251.8,22480.6,41135.5,101933.3,22485,82624,170812.3,21398.5,116837.9,92845.8,214730.6,338852.6,388507.5,456973.9,45986,13788.4,98936.4,119638,52717,157060,1134796,104110,471970.5,142898.5,NA,67827.6,1244027,105992.9,NA,86954.6
8/31/2015,6360444,1498597,1545369,2950892,1274711,1216075,495191.6,838814.6,1960069,597985.9,123770.3,182509.3,419310.1,666404.8,425448.2,87940.8,1244496,1177706,255513.9,380458,486210.1,437763.7,399842.6,561572.9,285521.3,221835.3,105176.4,183283.3,117543,11911.5,492690.7,585441.6,271434,533966.9,434937.4,402709.2,168628.1,305472.6,259119.7,262640.8,196653.7,71497.1,148190.8,503402.4,202934.1,316157.4,235446.1,86031.4,189497.9,315764.1,143263.8,228288.4,161812.1,276210.4,41938,135975.1,252682,143641,105872.4,65789.7,43138,45207.3,284937.4,34718.2,27355.5,148390.4,363542.7,74756.9,86352.8,98938.1,49240.4,103969,135494.7,54511.5,34853.4,37863.6,88732.1,29257.4,82848.7,148891.4,33877.1,151007.4,105881.3,221320.8,269935.4,128885.8,487108.9,56799,18263.1,118314.8,94117.8,58984.3,144314.9,606144.8,155196.8,177121.3,156183.4,NA,106535.5,1362649,107335,NA,147733.9
9/1/2015,8438502,2091567,1938246,3172056,1630623,1231349,765850.8,827149.1,3847138,890727.4,192394.8,245670.8,411142.5,821043.3,453152.1,91566,1388690,1318380,304806.4,604202.6,614468.5,719679.9,511596.9,726275.6,320428.1,249733.3,122623.6,200573.8,201873.4,14836.4,739848.2,709129.6,266429,444778.8,450693.4,336078.8,210096.6,612152.7,281612.6,266467.3,329722.9,119926.9,192755.1,658546,322553.5,283715.8,211258.4,139476.8,182570.7,413689.6,219319.8,161072.5,190384.5,314189.4,101986.3,117127.5,320359.1,265240.9,161669.8,50557.8,81769,68945.7,438864.7,45519.6,47520.4,153758.6,867664.5,101122.4,71152.3,125086.2,54336.1,173239.6,159567.9,63544.5,35257.6,71727.4,140738.5,31492.3,163536.8,163090.7,50701.9,163977.6,160093.4,199815.8,401854.5,147985.4,627795.9,34645.1,34956.4,204984.8,93514.7,48899,136619.8,718167.8,138639.7,198878.8,248322.4,NA,121006.3,2232803,98100.4,NA,168888.7
9/2/2015,6844681,1608924,1871062,2413625,1203083,984458.1,542693.4,710097.4,4139004,945775.2,189731.5,271068.9,252815.4,650390.7,259837.3,86556.4,1183221,1127925,160579,447913.3,282125.5,541016.6,578622.8,644505,228849.7,188379.3,129602.7,205310.4,116187.2,11001.9,683739.8,508918.1,178431.1,377254.3,381132.8,408360.9,165207.9,440480.8,204380.5,124927.8,213423.5,82733.3,113367,283992.1,245316.8,243322,308210.8,85237,150903.7,290703.4,167520,191864.9,144239.5,228034.3,76904.2,208290.6,295522.8,213954.4,156110.5,75701.6,83119.3,51473.9,320072.3,52199.3,47629.9,184952.6,695738.9,86623.2,51765,88336.9,40307.3,113577.6,109103.1,47829.2,29315,44309.8,153680.4,26504.7,106511.1,113033.3,43945.7,137860.3,128476.4,265651.4,247666.6,146527.9,788604.9,38938.4,19677,103152.1,91020.6,48550.5,91892.8,3885980,88657.6,163157.5,202831.8,NA,101730.4,1564507,127517.8,NA,160135.9
9/3/2015,5925688,1234625,1605760,2403451,1109446,1127247,348283.1,726602.6,3009997,687614.9,147094.6,273252.2,227308.3,432568.1,235286.9,72226.8,1021794,1042359,214996.7,374651.5,251959.1,438636.3,661543.1,600436.4,278534.7,129411.3,94622.3,151627.1,131073.9,12908.9,545288.6,680241.3,231988.8,442820.3,312333.4,297974.9,219684.1,356363.4,211223.5,218681.9,188117.8,65107.2,128485,443076.4,229909.1,204155.1,219795.3,113949,143318.1,334527.1,115241.6,144275.8,129850.8,187268.8,57196.4,197381,234332.1,129474,145765.9,41380.2,50928.6,43073.7,270821,37948.6,74501.3,154127.6,450579.3,104645.1,52264.6,67214.1,52573.1,100089.1,90251.1,43419.1,27371.7,41157.7,104611.9,26701.9,117527.5,73074.2,35052.1,109214.2,86804.4,185152.2,195890.3,139528.3,407994.6,24425.7,10068.7,93084.2,62624.5,32853.4,102660,571758.4,97634.8,151411.5,166609.3,NA,85687.3,1074391,115392.3,NA,144451.1
9/4/2015,5464219,1581281,1343588,2389772,1274852,832854.8,514237.3,686346.1,2386677,659658.6,157905.6,179474.3,294608.3,494596.6,256707.3,47587.6,1054667,890652.1,135808.4,303665.6,308603.8,379240.9,490646.9,623540.4,272144.9,156799.9,96393.6,141762.4,107026.5,12176.6,510366.6,751274.6,339445.3,544248.6,404684.4,295189.1,145107.6,476966.1,236368.5,142516.6,211809.6,81092.1,91743.4,491378.1,238072.2,172889.5,116155.3,132116.4,130637.3,240438.1,107583.9,156025.4,152031.6,215739.3,40327.6,145251.3,200382.6,110931.7,131580.9,43018.1,35371.5,52745.9,376531.8,39974.2,37962.3,115992.1,431410.8,73434.9,49955.1,73510.6,36600.5,128170.2,89887.3,38529.3,18223.3,23149.5,78108.3,21378.5,77581.9,75463.1,27696,88124.4,115046.6,121926.7,242548.1,73356.3,396857.1,23876.7,13206.2,144189.1,61348.9,28511.2,117372.3,347835.1,106952.6,94769.6,134321.4,NA,59382.7,1252938,70729.9,NA,88971.7
